Michael Schumacher,1,1,1,3,5,1,Ret,1,Ret,Ret,Ret,2,2,1,1,1,1
Mika Häkkinen,Ret,Ret,2,2,1,2,6,4,2,1,2,1,1,2,Ret,2,4
David Coulthard,Ret,DSQ,3,1,2,3,1,7,1,2,3,3,4,Ret,5,3,2
Rubens Barrichello,2,Ret,4,Ret,3,4,2,2,3,3,1,4,Ret,Ret,2,4,3
Ralf Schumacher,3,5,Ret,4,4,Ret,Ret,14,5,Ret,7,5,3,3,Ret,Ret,Ret
Giancarlo Fisichella,5,2,11,7,9,5,3,3,9,Ret,Ret,Ret,Ret,11,Ret,14,9
Jacques Villeneuve,4,Ret,5,16,Ret,Ret,7,15,4,4,8,12,7,Ret,4,6,5
Jenson Button,Ret,6,Ret,5,17,10,Ret,11,8,5,4,9,5,Ret,Ret,5,Ret
Heinz-Harald Frentzen,Ret,3,Ret,17,6,Ret,10,Ret,7,Ret,Ret,6,6,Ret,3,Ret,Ret
Jarno Trulli,Ret,4,15,6,12,Ret,Ret,6,6,Ret,9,7,Ret,Ret,Ret,13,12
Mika Salo,DSQ,WD,6,8,7,Ret,5,Ret,10,6,5,10,9,7,Ret,10,8
Jos Verstappen,Ret,7,14,Ret,Ret,Ret,Ret,5,Ret,Ret,Ret,13,15,4,Ret,Ret,10
Eddie Irvine,Ret,Ret,7,13,11,Ret,4,13,13,,10,8,10,Ret,7,8,6
Ricardo Zonta,6,9,12,Ret,8,Ret,Ret,8,Ret,Ret,Ret,14,12,6,6,9,Ret
Alexander Wurz,7,Ret,9,9,10,12,Ret,9,Ret,10,Ret,11,13,5,10,Ret,7
Pedro de la Rosa,Ret,8,Ret,Ret,Ret,6,Ret,Ret,Ret,Ret,6,16,16,Ret,Ret,12,Ret
Johnny Herbert,Ret,Ret,10,12,13,11,9,Ret,Ret,7,Ret,Ret,8,Ret,11,7,Ret
Pedro Diniz,Ret,WD,8,11,Ret,7,Ret,10,11,9,Ret,Ret,11,8,8,11,Ret
Marc Gené,8,Ret,Ret,14,14,Ret,Ret,16,15,8,Ret,15,14,9,12,Ret,Ret
Nick Heidfeld,9,Ret,Ret,Ret,16,,8,Ret,12,Ret,12,Ret,Ret,Ret,9,Ret,Ret
Gastón Mazzacane,Ret,10,13,15,15,8,Ret,12,Ret,12,11,Ret,17,10,Ret,15,13
Jean Alesi,Ret,Ret,Ret,10,Ret,9,Ret,Ret,14,Ret,Ret,Ret,Ret,12,Ret,Ret,11
Luciano Burti,,,,,,,,,,11,,,,,,,
